step,total_steps,episode,duration,episode_steps,steps_per_second,episode_reward,mean_reward,mean_action,loss,mae,mean_q,mean_eps
252910,6000000,374,12.312,688,56,6.000,0.009,2.538,0.007172,0.444887,0.541891,0.949487
253608,6000000,375,13.224,698,53,12.000,0.017,2.473,0.007964,0.456516,0.555209,0.949348
253999,6000000,376,7.142,391,55,5.000,0.013,2.550,0.006858,0.447712,0.545170,0.949240
254732,6000000,377,13.944,733,53,9.000,0.012,2.719,0.007871,0.451166,0.549422,0.949127
255254,6000000,378,9.646,522,54,9.000,0.017,2.515,0.008423,0.445564,0.542737,0.949002
256385,6000000,379,23.391,1131,48,14.000,0.012,2.550,0.007300,0.446582,0.545409,0.948836
256775,6000000,380,8.521,390,46,7.000,0.018,2.603,0.007265,0.433848,0.528414,0.948684
257401,6000000,381,11.793,626,53,7.000,0.011,2.562,0.007052,0.441115,0.537438,0.948582
258103,6000000,382,13.322,702,53,8.000,0.011,2.520,0.007301,0.442177,0.538584,0.948450
258787,6000000,383,13.336,684,51,8.000,0.012,2.599,0.007507,0.446699,0.544022,0.948311
259561,6000000,384,15.123,774,51,8.000,0.010,2.490,0.007130,0.439925,0.537062,0.948165
260334,6000000,385,14.280,773,54,9.000,0.012,2.422,0.009187,0.458905,0.559020,0.948010
261016,6000000,386,12.382,682,55,8.000,0.012,2.603,0.007746,0.470194,0.573109,0.947865
261825,6000000,387,14.633,809,55,10.000,0.012,2.511,0.006895,0.459707,0.560283,0.947716
262870,6000000,388,22.666,1045,46,15.000,0.014,2.489,0.007143,0.464489,0.564941,0.947530
263735,6000000,389,16.988,865,51,17.000,0.020,2.447,0.007125,0.470119,0.574186,0.947340
264416,6000000,390,13.501,681,50,10.000,0.015,2.391,0.006929,0.464473,0.565020,0.947185
265587,6000000,391,25.241,1171,46,9.000,0.008,2.520,0.007161,0.473062,0.575981,0.947000
265941,6000000,392,7.435,354,48,3.000,0.008,2.531,0.005975,0.465730,0.567379,0.946847
266703,6000000,393,13.822,762,55,14.000,0.018,2.507,0.007534,0.478038,0.582942,0.946736
267398,6000000,394,12.232,695,57,11.000,0.016,2.574,0.006833,0.475683,0.580240,0.946590
268004,6000000,395,10.896,606,56,5.000,0.008,2.507,0.007088,0.474690,0.577420,0.946460
268614,6000000,396,11.334,610,54,5.000,0.008,2.443,0.006884,0.473155,0.576258,0.946338
269172,6000000,397,10.292,558,54,8.000,0.014,2.441,0.007300,0.470514,0.572648,0.946222
269616,6000000,398,7.887,444,56,3.000,0.007,2.455,0.006118,0.467165,0.570782,0.946122
270061,6000000,399,7.796,445,57,4.000,0.009,2.483,0.008554,0.483933,0.589885,0.946032
270449,6000000,400,6.740,388,58,7.000,0.018,2.526,0.007280,0.498185,0.606455,0.945949
270840,6000000,401,6.966,391,56,7.000,0.018,2.274,0.009289,0.503406,0.612345,0.945871
271319,6000000,402,8.946,479,54,8.000,0.017,2.578,0.007302,0.505587,0.615040,0.945784
271750,6000000,403,8.311,431,52,4.000,0.009,2.478,0.008743,0.507164,0.614890,0.945693
272395,6000000,404,11.973,645,54,7.000,0.011,2.504,0.007980,0.502239,0.611668,0.945586
273923,6000000,405,31.261,1528,49,18.000,0.012,2.503,0.007708,0.497504,0.604479,0.945368
274314,6000000,406,8.289,391,47,4.000,0.010,2.465,0.006321,0.492112,0.599007,0.945176
274951,6000000,407,13.546,637,47,6.000,0.009,2.606,0.007729,0.495326,0.603872,0.945074
275517,6000000,408,12.109,566,47,8.000,0.014,2.489,0.006187,0.502123,0.613931,0.944953
276185,6000000,409,12.617,668,53,6.000,0.009,2.445,0.006575,0.496908,0.605227,0.944830
277058,6000000,410,16.600,873,53,13.000,0.015,2.501,0.007044,0.507391,0.617264,0.944676
278057,6000000,411,20.600,999,48,14.000,0.014,2.450,0.007639,0.495353,0.603458,0.944488
278408,6000000,412,7.261,351,48,4.000,0.011,2.575,0.007780,0.506911,0.617322,0.944354
278967,6000000,413,11.175,559,50,7.000,0.013,2.519,0.007171,0.493258,0.600075,0.944263
280084,6000000,414,20.881,1117,53,16.000,0.014,2.472,0.006752,0.498608,0.606619,0.944095
280609,6000000,415,11.167,525,47,8.000,0.015,2.558,0.006598,0.511791,0.622584,0.943931
281069,6000000,416,9.573,460,48,6.000,0.013,2.511,0.009079,0.519148,0.631953,0.943832
282571,6000000,417,29.994,1502,50,13.000,0.009,2.503,0.006895,0.515176,0.626426,0.943636
283334,6000000,418,15.240,763,50,11.000,0.014,2.599,0.006544,0.511482,0.623401,0.943410
284047,6000000,419,14.598,713,49,10.000,0.014,2.561,0.006982,0.512958,0.626189,0.943262
284693,6000000,420,12.608,646,51,8.000,0.012,2.350,0.007267,0.511377,0.621392,0.943126
285265,6000000,421,10.157,572,56,7.000,0.012,2.320,0.008134,0.530355,0.645535,0.943004
285670,6000000,422,7.273,405,56,5.000,0.012,2.430,0.007225,0.535110,0.652688,0.942906
286341,6000000,423,12.494,671,54,9.000,0.013,2.621,0.007715,0.526748,0.642442,0.942799
287072,6000000,424,14.705,731,50,11.000,0.015,2.577,0.006618,0.530697,0.647377,0.942659
287689,6000000,425,12.363,617,50,7.000,0.011,2.512,0.008010,0.527752,0.643643,0.942524
288358,6000000,426,12.511,669,53,10.000,0.015,2.575,0.009170,0.534492,0.649550,0.942395
