episode,steps,reward
866,596199,17.0
867,597234,23.0
868,598117,14.0
869,598927,14.0
870,599602,11.0
871,600009,4.0
872,600641,5.0
873,601830,25.0
874,602723,15.0
875,603678,21.0
876,604162,7.0
877,604675,6.0
878,605452,12.0
879,605918,7.0
880,606597,12.0
881,607293,9.0
882,607916,10.0
883,608378,8.0
884,608873,7.0
885,609273,7.0
886,609981,11.0
887,610365,5.0
888,610842,7.0
889,611730,17.0
890,612360,11.0
891,613106,17.0
892,613568,8.0
893,614444,17.0
894,615050,11.0
895,616064,21.0
896,616955,15.0
897,617695,18.0
898,618341,8.0
899,619679,18.0
900,620627,15.0
901,621429,15.0
902,622102,12.0
903,622793,9.0
904,623411,11.0
905,624479,24.0
906,625313,20.0
907,626426,19.0
908,626812,5.0
909,627507,13.0
910,628306,18.0
911,629249,15.0
912,630210,13.0
913,630942,12.0
914,631573,10.0
915,632335,14.0
916,632820,10.0
917,633424,14.0
918,634168,13.0
919,634757,10.0
920,635425,10.0
921,636647,20.0
922,637298,12.0
923,638496,25.0
924,639143,8.0
925,640452,20.0
926,641523,18.0
927,642372,21.0
928,642984,11.0
929,643645,12.0
930,644778,12.0
931,645897,30.0
932,646752,18.0
933,647445,12.0
934,647985,9.0
935,648747,15.0
936,649241,6.0
937,649808,11.0
938,650705,22.0
939,651629,21.0
940,652037,4.0
941,652431,8.0
942,653150,12.0
943,653727,9.0
944,654363,12.0
945,655084,16.0
946,655908,13.0
947,656577,13.0
948,657472,16.0
949,658392,12.0
950,659064,12.0
951,660018,19.0
952,660621,12.0
953,661097,8.0
954,661593,10.0
955,662117,7.0
956,662976,17.0
957,664093,15.0
958,664691,4.0
959,665379,13.0
960,665844,3.0
961,666343,9.0
962,667298,18.0
963,667983,15.0
964,668522,9.0
965,669233,15.0
966,669928,15.0
967,670980,21.0
968,671685,12.0
969,672436,13.0
970,673217,20.0
971,673872,11.0
972,674442,11.0
973,675113,15.0
974,675819,12.0
975,676441,11.0
976,677231,16.0
977,677744,10.0
978,678220,5.0
979,678757,9.0
980,679322,11.0
981,679997,14.0
982,680562,11.0
983,681430,18.0
984,681810,7.0
985,682293,9.0
986,682915,7.0
987,683887,19.0
